Component, Error Model Element, Hazard Title, Description, Crossreference, Failure, Failure Effect, Operational Phases, Environment,Risk,Mishap, Failure Condition, Severity, Likelihood, Probability,Target Severity, Target Likelihood, Development Assurance Level, Verification Method, Safety Report, Comment
camera, "ItemOmission on picture", , "Brak obrazu z kamery", "N/A", "ItemOmission", , "all", , , , , 3, B, , , , , , , "Ma wp³yw na proces akwizycji danych"
radar1, "OutOfRange on distance", , "Niew³aœciwe dane z radaru 1", "N/A", "OutOfRange", , "all", , , , , 4, B, , , , , , , "Radar 1 wysy³a niew³aœciwe dane. Powinno byæ to wykryte przez voter i obsluzone."
radar1, "ItemOmission on distance", , "Brak danych z radaru 1", "N/A", "ItemOmission", , "all", , , , , 3, B, , , , , , , "Radar 1 nie wysy³a danych. Mo¿e to powodowaæ b³¹d gdy oba radary nie wysy³aj¹ danych."
radar2, "OutOfRange on distance", , "Niew³aœciwe dane z radaru 2", "N/A", "OutOfRange", , "all", , , , , 4, B, , , , , , , "Radar 2 wysy³a niew³aœciwe dane. Powinno byæ to wykryte przez voter i obsluzone."
radar2, "ItemOmission on distance", , "Brak danych z radaru 2", "N/A", "ItemOmission", , "all", , , , , 3, B, , , , , , , "Radar 2 nie wysy³a danych. Mo¿e to powodowaæ b³¹d gdy oba radary nie wysy³aj¹ danych."
traffic_lane_sensor, "ItemOmission on lane_crossed", , "Brak sygna³u z czujnika zmiany pasa", "N/A", "ItemOmission", , "all", , , , , 4, C, , , , , , , "Ma wp³yw na proces akwizycji danych"
induction_speed_sensor, "OutOfRange on speed", , "Niew³aœciwe dane z sensora prekoœci indukcyjnego", "N/A", "OutOfRange", , "all", , , , , 4, B, , , , , , , "Sensor indukcyjny prêdkoœci wysy³a niew³aœciwe dane. Powinno byæ to wykryte przez voter i obsluzone."
induction_speed_sensor, "ItemOmission on speed", , "Brak danych z sensora prekoœci indukcyjnego", "N/A", "ItemOmission", , "all", , , , , 3, B, , , , , , , "Sensor prêdkoœci indukcyjny nie wysy³a danych. Mo¿e to powodowaæ b³¹d gdy oba sensory nie wysy³aj¹ danych."
optical_speed_sensor, "OutOfRange on speed", , "Niew³aœciwe dane z sensora prekoœci optycznego", "N/A", "OutOfRange", , "all", , , , , 4, B, , , , , , , "Sensor optyczny prêdkoœci wysy³a niew³aœciwe dane. Powinno byæ to wykryte przez voter i obsluzone."
optical_speed_sensor, "ItemOmission on speed", , "Brak danych z sensora prekoœci optycznego", "N/A", "ItemOmission", , "all", , , , , 3, B, , , , , , , "Sensor prêdkoœci optyczny nie wysy³a danych. Mo¿e to powodowaæ b³¹d gdy oba sensory nie wysy³aj¹ danych."
acceleration_pedal, "OutOfRange on speed", , "Zla wartosc predkosci z pedalu przyspieszenia", "N/A", "OutOfRange", , "all", , , , , 4, C, , , , , , , "Ma wp³yw na proces kontroli predkosci"
